order_id,customer_name,product,quantity,unit_price,order_date,region,total_price,customer tier
101,Alice,Laptop,0.0,900.0,2024-05-09,Central,0.0,
102,Unknown,Laptop,1.0,300.0,2024-05-07,Central,300.0,Silver
103,Unknown,Laptop,1.0,600.0,2024-05-04,Central,600.0,Gold
104,Unknown,Tablet,0.0,300.0,2024-05-26,Central,0.0,
105,Heidi,Tablet,2.0,600.0,2024-05-21,North,1200.0,Platinum
106,Unknown,Laptop,2.0,600.0,2024-05-18,Central,1200.0,Platinum
107,Unknown,Tablet,1.0,600.0,2024-05-13,Central,600.0,Gold
108,Unknown,Laptop,0.0,600.0,2024-05-11,,0.0,
109,Grace,Laptop,2.0,600.0,2024-05-29,Central,1200.0,Platinum
110,Heidi,Phone,0.0,900.0,2024-05-24,,0.0,
